Index,Tweet,Clean Text,Polarity,Subjectivity,Analysis,Label
46,Iran and Russia hold joint naval exercise in Caspian Sea amid Middle East tensions,iran russia hold joint naval exercise caspian sea amid middle east tensions,0.0,0.1,Neutral,0
47,US military bases in Middle East hit by Iran-backed drone attacks overnight #NuclearDeal,us military bases middle east hit iranbacked drone attacks overnight,0.0,0.1,Neutral,0
48,US carrier strike group mobilizes as Iran threatens direct attack on American forces #IsraeliAirstrike,us carrier strike group mobilizes iran threatens direct attack american forces,-0.14,0.24,Negative,-1
49,Hostages taken during Iranian proxy attack in northern Israel still unaccounted for,hostages taken iranian proxy attack northern israel unaccounted,-0.08,0.18,Negative,-1
50,Thousands flee Baghdad as bombing intensifies in Iran-Israel war escalation #IranProtest,thousands flee baghdad bombing intensifies iranisrael war escalation,-0.27,0.37,Negative,-1
51,EU foreign ministers meet in Brussels to discuss Iran-Israel conflict diplomatic response #MiddleEastPeace,eu foreign ministers meet brussels discuss iranisrael conflict diplomatic response,-0.08,0.18,Negative,-1
52,Iran-backed militias attack US military bases in Iraq killing American soldiers #IsraeliAirstrike,iranbacked militias attack us military bases iraq killing american soldiers,-0.08,0.18,Negative,-1
53,UN warns of catastrophic humanitarian disaster as Iran-Israel war intensifies,un warns catastrophic humanitarian disaster iranisrael war intensifies,0.0,0.3,Neutral,0
54,Escalating conflict threatens to drag entire Middle East into devastating regional war,escalating conflict threatens drag entire middle east devastating regional war,-0.25,0.35,Negative,-1
55,Israeli air force conducts practice runs over Mediterranean preparing for Iran strikes,israeli air force conducts practice runs mediterranean preparing iran strikes,0.0,0.1,Neutral,0
56,EU foreign ministers meet in Brussels to discuss Iran-Israel conflict diplomatic response,eu foreign ministers meet brussels discuss iranisrael conflict diplomatic response,-0.08,0.18,Negative,-1
57,Iran test fires ICBM capable of reaching European capitals raising global alarm #IsraeliAirstrike,iran test fires icbm capable reaching european capitals raising global alarm,0.0,0.1,Neutral,0
58,Iran test fires ICBM capable of reaching European capitals raising global alarm,iran test fires icbm capable reaching european capitals raising global alarm,0.0,0.1,Neutral,0
59,Israeli forces destroy Iranian missile launchers in preemptive strike operation #MiddleEastPeace,israeli forces destroy iranian missile launchers preemptive strike operation,-0.27,0.37,Negative,-1
60,Israeli air force conducts practice runs over Mediterranean preparing for Iran strikes #HouthiAttack,israeli air force conducts practice runs mediterranean preparing iran strikes,0.0,0.1,Neutral,0
61,Reports of chemical weapons use in Mediterranean coastline spark international outrage and condemnation,reports chemical weapons use mediterranean coastline spark international outrage condemnation,0.0,0.1,Neutral,0
62,US warships intercept Iranian attack drones heading toward Israeli coastline #RefugeeCrisis,us warships intercept iranian attack drones heading toward israeli coastline,-0.09,0.19,Negative,-1
63,US intelligence warns Iran weeks away from nuclear weapon capability amid conflict #IranNuclear,us intelligence warns iran weeks away nuclear weapon capability amid conflict,-0.15,0.25,Negative,-1
64,US special forces casualties reported in covert operation against Iranian assets,us special forces casualties reported covert operation iranian assets,-0.09,0.19,Negative,-1
65,Iranian missile barrage overwhelms Israeli Iron Dome defense system in latest attack #StopTheWar,iranian missile barrage overwhelms israeli iron dome defense system latest attack,-0.23,0.33,Negative,-1
66,Netanyahu addresses Knesset on security situation amid ongoing Iranian missile campaign #StopTheWar,netanyahu addresses knesset security situation amid ongoing iranian missile campaign,-0.08,0.18,Negative,-1
67,Israeli airstrike kills 148 civilians in Gaza Strip according to emergency services,israeli airstrike kills civilians gaza strip according emergency services,0.0,0.1,Neutral,0
68,US coordinates with Gulf states on contingency plans for potential Iran-Israel escalation,us coordinates gulf states contingency plans potential iranisrael escalation,-0.08,0.18,Negative,-1
69,UN special envoy travels to Tehran and Jerusalem seeking diplomatic breakthrough,un special envoy travels tehran jerusalem seeking diplomatic breakthrough,0.0,0.1,Neutral,0
70,IMF warns conflict could reduce global GDP growth by 20 percent this year,imf warns conflict reduce global gdp growth percent year,-0.08,0.18,Negative,-1
71,Israel releases intelligence showing Iranian weapon transfers to Hezbollah in Lebanon,israel releases intelligence showing iranian weapon transfers hezbollah lebanon,0.0,0.1,Neutral,0
72,Iran Supreme Leader delivers speech on regional resistance against Israeli aggression #HezbollahIsrael,iran supreme leader delivers speech regional resistance israeli aggression,-0.08,0.18,Negative,-1
73,US sanctions squeeze Iranian economy but conflict shows no signs of ending,us sanctions squeeze iranian economy conflict shows signs ending,-0.17,0.27,Negative,-1
74,Hope for generation trapped in war as international scholarships offered to refugees #IsraelDefense,hope generation trapped war international scholarships offered refugees,0.0,0.25,Neutral,0
75,EU foreign ministers meet in Brussels to discuss Iran-Israel conflict diplomatic response,eu foreign ministers meet brussels discuss iranisrael conflict diplomatic response,-0.08,0.18,Negative,-1
76,Tragic loss of civilian life in Iranian border region as war crimes allegations mount against all sides,tragic loss civilian life iranian border region war crimes allegations mount sides,-0.12,0.22,Negative,-1
77,Iran-backed militias attack US military bases in Iraq killing American soldiers #IranProtest,iranbacked militias attack us military bases iraq killing american soldiers,-0.08,0.18,Negative,-1
78,War crimes tribunal called for as evidence mounts of deliberate civilian targeting,war crimes tribunal called evidence mounts deliberate civilian targeting,-0.08,0.18,Negative,-1
79,Iran cyber attacks cripple Israeli banking system and power grid infrastructure,iran cyber attacks cripple israeli banking system power grid infrastructure,0.0,0.1,Neutral,0
80,Egypt mediates back-channel talks between Iranian and Israeli representatives,egypt mediates backchannel talks iranian israeli representatives,0.0,0.1,Neutral,0
81,Arab League holds emergency summit addressing Iran-Israel-US military confrontation,arab league holds emergency summit addressing iranisraelus military confrontation,0.0,0.1,Neutral,0
82,Brave journalists risking lives to document truth of conflict and protect civilians,brave journalists risking lives document truth conflict protect civilians,0.08,0.35,Positive,1
83,IMF warns conflict could reduce global GDP growth by 1 percent this year,imf warns conflict reduce global gdp growth percent year,-0.08,0.18,Negative,-1
84,Hezbollah fires 86 rockets into Riyadh wounding dozens of civilians,hezbollah fires rockets riyadh wounding dozens civilians,0.0,0.1,Neutral,0
85,Iran foreign minister meets Russian counterpart to discuss Middle East conflict situation,iran foreign minister meets russian counterpart discuss middle east conflict situation,-0.08,0.18,Negative,-1
86,Iranian missile barrage overwhelms Israeli Iron Dome defense system in latest attack,iranian missile barrage overwhelms israeli iron dome defense system latest attack,-0.25,0.35,Negative,-1
87,Famine threatens Gaza as Iran-Israel blockade cuts off all humanitarian supply routes,famine threatens gaza iranisrael blockade cuts off humanitarian supply routes,0.0,0.27,Neutral,0
88,Israeli strike on Iranian general sparks massive retaliatory missile barrage on cities,israeli strike iranian general sparks massive retaliatory missile barrage cities,-0.25,0.35,Negative,-1
89,Israeli airstrike kills 195 civilians in Mediterranean coastline according to emergency services,israeli airstrike kills civilians mediterranean coastline according emergency services,0.0,0.1,Neutral,0
90,Iranian Revolutionary Guard pledges total war if US intervenes militarily in conflict,iranian revolutionary guard pledges total war us intervenes militarily conflict,-0.17,0.27,Negative,-1
91,Russia vetoes third UN Security Council ceasefire resolution on Middle East conflict #HouthiAttack,russia vetoes third un security council ceasefire resolution middle east conflict,0.0,0.25,Neutral,0
92,Israeli airstrike kills 114 civilians in Strait of Hormuz region according to emergency services,israeli airstrike kills civilians strait hormuz region according emergency services,0.0,0.1,Neutral,0
93,US military bases in Middle East hit by Iran-backed drone attacks overnight,us military bases middle east hit iranbacked drone attacks overnight,0.0,0.1,Neutral,0
94,UN warns of catastrophic humanitarian disaster as Iran-Israel war intensifies,un warns catastrophic humanitarian disaster iranisrael war intensifies,0.0,0.3,Neutral,0
95,Turkey offers to host ceasefire negotiations between Iran and Israel in Ankara,turkey offers host ceasefire negotiations iran israel ankara,0.08,0.18,Positive,1
96,Germany extends Iran oil sanctions following missile attacks on Israeli civilians,germany extends iran oil sanctions following missile attacks israeli civilians,-0.18,0.28,Negative,-1
97,Inspiring story of Iranian and Israeli families sheltering together at border crossing,inspiring story iranian israeli families sheltering together border crossing,0.0,0.1,Neutral,0
98,Iranian nuclear sites bombed by Israel sparking fears of radioactive contamination,iranian nuclear sites bombed israel sparking fears radioactive contamination,-0.09,0.19,Negative,-1
99,Israeli strike on Iranian general sparks massive retaliatory missile barrage on cities,israeli strike iranian general sparks massive retaliatory missile barrage cities,-0.25,0.35,Negative,-1
100,Israel estimates Iranian missile program has over 144000 projectiles in arsenal,israel estimates iranian missile program projectiles arsenal,-0.1,0.2,Negative,-1
101,Israeli intelligence warns of imminent Iranian dirty bomb attack on Tel Aviv #IDF,israeli intelligence warns imminent iranian dirty bomb attack tel aviv,-0.15,0.25,Negative,-1
102,Unity across religious lines as Jews Muslims and Christians pray together for peace,unity across religious lines jews muslims christians pray together peace,0.23,0.33,Positive,1
103,Thousands of Iranian soldiers mobilize near Israeli border threatening ground invasion,thousands iranian soldiers mobilize near israeli border threatening ground invasion,-0.09,0.19,Negative,-1
104,Iran launches 117 ballistic missiles at Haifa causing widespread panic and destruction,iran launches ballistic missiles haifa causing widespread panic destruction,0.0,0.1,Neutral,0
105,Israel and US conduct joint military drill simulating Iranian missile attack scenario,israel us conduct joint military drill simulating iranian missile attack scenario,-0.17,0.27,Negative,-1
106,UN warns of catastrophic humanitarian disaster as Iran-Israel war intensifies #IranAttacksIsrael,un warns catastrophic humanitarian disaster iranisrael war intensifies,0.0,0.28,Neutral,0
107,Israel destroys Iranian oil refinery in major escalation of direct military strikes,israel destroys iranian oil refinery major escalation direct military strikes,-0.08,0.18,Negative,-1
108,Israeli airstrike kills 152 civilians in Mediterranean coastline according to emergency services,israeli airstrike kills civilians mediterranean coastline according emergency services,0.0,0.1,Neutral,0
109,Global markets crash as Iran-Israel-US military confrontation escalates without end,global markets crash iranisraelus military confrontation escalates without end,0.0,0.1,Neutral,0
110,War crimes tribunal called for as evidence mounts of deliberate civilian targeting #BidenForeignPolicy,war crimes tribunal called evidence mounts deliberate civilian targeting,-0.08,0.18,Negative,-1
111,Children among casualties as missiles strike school shelter in Persian Gulf coast war zone,children among casualties missiles strike school shelter persian gulf coast war zone,-0.21,0.31,Negative,-1
112,EU foreign ministers meet in Brussels to discuss Iran-Israel conflict diplomatic response #GazaHumanitarian,eu foreign ministers meet brussels discuss iranisrael conflict diplomatic response,-0.08,0.18,Negative,-1
113,US State Department issues travel warning for Middle East amid ongoing tensions,us state department issues travel warning middle east amid ongoing tensions,0.0,0.1,Neutral,0
114,US intelligence warns Iran weeks away from nuclear weapon capability amid conflict #IranThreat,us intelligence warns iran weeks away nuclear weapon capability amid conflict,-0.15,0.25,Negative,-1
115,Israel and US conduct joint military drill simulating Iranian missile attack scenario,israel us conduct joint military drill simulating iranian missile attack scenario,-0.17,0.27,Negative,-1
116,US sanctions squeeze Iranian economy but conflict shows no signs of ending,us sanctions squeeze iranian economy conflict shows signs ending,-0.17,0.27,Negative,-1
117,Israeli intelligence warns of imminent Iranian dirty bomb attack on Tel Aviv #MiddleEastPeace,israeli intelligence warns imminent iranian dirty bomb attack tel aviv,-0.15,0.25,Negative,-1
118,Heartwarming scenes as families reunite after being separated by Iran-Israel conflict,heartwarming scenes families reunite being separated iranisrael conflict,-0.09,0.19,Negative,-1
119,Israeli strike on Iranian general sparks massive retaliatory missile barrage on cities #IranNuclear,israeli strike iranian general sparks massive retaliatory missile barrage cities,-0.23,0.33,Negative,-1
120,Israeli airstrike kills 102 civilians in northern Israel according to emergency services #IranSanctions,israeli airstrike kills civilians northern israel according emergency services,0.0,0.1,Neutral,0
121,Mass displacement crisis: 128 million people fleeing violence in Lebanon and Gaza #IsraelDefense,mass displacement crisis million people fleeing violence lebanon gaza,-0.17,0.27,Negative,-1
122,US special forces casualties reported in covert operation against Iranian assets,us special forces casualties reported covert operation iranian assets,-0.09,0.19,Negative,-1
123,Israeli intelligence warns of imminent Iranian dirty bomb attack on Tel Aviv,israeli intelligence warns imminent iranian dirty bomb attack tel aviv,-0.17,0.27,Negative,-1
124,UN Security Council scheduled emergency vote on Iran-Israel ceasefire resolution,un security council scheduled emergency vote iranisrael ceasefire resolution,0.1,0.2,Positive,1
125,Iran announces it will not negotiate under military threat from Israel or United States,iran announces negotiate under military threat israel united states,0.0,0.24,Neutral,0
126,Global markets crash as Iran-Israel-US military confrontation escalates without end,global markets crash iranisraelus military confrontation escalates without end,0.0,0.1,Neutral,0
127,Arab League holds emergency summit addressing Iran-Israel-US military confrontation #USMilitary,arab league holds emergency summit addressing iranisraelus military confrontation,0.0,0.1,Neutral,0
128,US intelligence warns Iran weeks away from nuclear weapon capability amid conflict,us intelligence warns iran weeks away nuclear weapon capability amid conflict,-0.17,0.27,Negative,-1
129,US military bases in Middle East hit by Iran-backed drone attacks overnight,us military bases middle east hit iranbacked drone attacks overnight,0.0,0.1,Neutral,0
130,Hostages taken during Iranian proxy attack in northern Israel still unaccounted for,hostages taken iranian proxy attack northern israel unaccounted,-0.08,0.18,Negative,-1
131,Iran vows devastating retaliation after Israeli strike destroys Natanz nuclear facility #BidenForeignPolicy,iran vows devastating retaliation israeli strike destroys natanz nuclear facility,-0.33,0.43,Negative,-1
132,Reports of chemical weapons use in Iraqi Kurdistan spark international outrage and condemnation #IRGC,reports chemical weapons use iraqi kurdistan spark international outrage condemnation,0.0,0.1,Neutral,0
133,Iran activates air defense systems across country after Israeli drone incursions #NuclearDeal,iran activates air defense systems across country israeli drone incursions,0.0,0.1,Neutral,0
134,Iran announces withdrawal from nuclear deal following Israeli attack on Natanz #IranMissileStrike,iran announces withdrawal nuclear deal following israeli attack natanz,-0.17,0.27,Negative,-1
135,Iran-backed militias attack US military bases in Iraq killing American soldiers,iranbacked militias attack us military bases iraq killing american soldiers,-0.09,0.19,Negative,-1
136,Iran announces withdrawal from nuclear deal following Israeli attack on Natanz,iran announces withdrawal nuclear deal following israeli attack natanz,-0.18,0.28,Negative,-1
137,Refugee crisis overwhelms Jordan and Turkey as 174 million flee war zones,refugee crisis overwhelms jordan turkey million flee war zones,-0.27,0.37,Negative,-1
138,Hope for peace as US mediators arrive in Tehran for secret ceasefire negotiations,hope peace us mediators arrive tehran secret ceasefire negotiations,0.23,0.33,Positive,1
139,Iran-backed militias attack US military bases in Iraq killing American soldiers #IranThreat,iranbacked militias attack us military bases iraq killing american soldiers,-0.08,0.18,Negative,-1
140,Israeli PM warns of existential threat as Iranian missiles rain down on major cities,israeli pm warns existential threat iranian missiles rain down major cities,-0.07,0.17,Negative,-1
141,Horrific scenes as missiles devastate Persian Gulf coast residential neighborhoods in latest attack #GazaHumanitarian,horrific scenes missiles devastate persian gulf coast residential neighborhoods latest attack,-0.07,0.17,Negative,-1
142,China calls for diplomatic solution as Iran-Israel conflict threatens global economy,china calls diplomatic solution iranisrael conflict threatens global economy,-0.09,0.19,Negative,-1
143,Relief as humanitarian corridor opens allowing aid into Negev desert war zone finally,relief humanitarian corridor opens allowing aid negev desert war zone finally,0.15,0.41,Positive,1
144,Explosions rock Beersheba as latest round of Iran-Israel strikes causes mass panic,explosions rock beersheba latest round iranisrael strikes causes mass panic,0.0,0.1,Neutral,0
145,Arab League holds emergency summit addressing Iran-Israel-US military confrontation #IranIsraelWar,arab league holds emergency summit addressing iranisraelus military confrontation,0.0,0.1,Neutral,0
146,Iranian state media reports military exercise near Strait of Hormuz this week #IranAttacksIsrael,iranian state media reports military exercise near strait hormuz week,0.0,0.1,Neutral,0
147,IMF warns conflict could reduce global GDP growth by 5 percent this year #MiddleEastCrisis,imf warns conflict reduce global gdp growth percent year,-0.08,0.18,Negative,-1
148,Israel estimates Iranian missile program has over 87000 projectiles in arsenal,israel estimates iranian missile program projectiles arsenal,-0.1,0.2,Negative,-1
149,Reports of chemical weapons use in northern Israel spark international outrage and condemnation,reports chemical weapons use northern israel spark international outrage condemnation,0.0,0.1,Neutral,0
150,Brutal bombardment of Negev desert leaves entire neighborhoods in rubble and ruins,brutal bombardment negev desert leaves entire neighborhoods rubble ruins,-0.08,0.18,Negative,-1
151,Iran executes dissidents protesting against the devastating war with Israel,iran executes dissidents protesting devastating war israel,-0.2,0.3,Negative,-1
152,WHO warns healthcare system collapse in Gaza and Lebanon due to ongoing conflict,who warns healthcare system collapse gaza lebanon due ongoing conflict,-0.15,0.25,Negative,-1
153,Israeli PM warns of existential threat as Iranian missiles rain down on major cities,israeli pm warns existential threat iranian missiles rain down major cities,-0.07,0.17,Negative,-1
154,Biden administration reviews military options as Iran-Israel conflict enters new phase,biden administration reviews military options iranisrael conflict enters new phase,-0.09,0.19,Negative,-1
155,Oil prices hit record high as Iran threatens to blockade Strait of Hormuz #USMilitary,oil prices hit record high iran threatens blockade strait hormuz,-0.07,0.17,Negative,-1
156,Iran and Russia hold joint naval exercise in Caspian Sea amid Middle East tensions,iran russia hold joint naval exercise caspian sea amid middle east tensions,0.0,0.1,Neutral,0
157,US special forces casualties reported in covert operation against Iranian assets #UNMiddleEast,us special forces casualties reported covert operation iranian assets,-0.08,0.18,Negative,-1
158,Israeli military intelligence assesses Iranian military capabilities and vulnerabilities,israeli military intelligence assesses iranian military capabilities vulnerabilities,0.0,0.1,Neutral,0
159,Iran threatens nuclear escalation if Israel continues strikes on its military sites,iran threatens nuclear escalation israel continues strikes military sites,-0.17,0.27,Negative,-1
160,Iran claims responsibility for missile attack on Israeli military base in Negev desert,iran claims responsibility missile attack israeli military base negev desert,-0.15,0.25,Negative,-1
161,Famine threatens Gaza as Iran-Israel blockade cuts off all humanitarian supply routes,famine threatens gaza iranisrael blockade cuts off humanitarian supply routes,0.0,0.27,Neutral,0
162,Israel estimates Iranian missile program has over 185000 projectiles in arsenal,israel estimates iranian missile program projectiles arsenal,-0.1,0.2,Negative,-1
163,Horrific scenes as missiles devastate Iranian border region residential neighborhoods in latest attack,horrific scenes missiles devastate iranian border region residential neighborhoods latest attack,-0.08,0.18,Negative,-1
164,Ceasefire talks collapse again as Iran refuses all US mediation conditions completely #HezbollahIsrael,ceasefire talks collapse again iran refuses us mediation conditions completely,0.0,0.25,Neutral,0
165,US aircraft carrier USS Abraham Lincoln arrives in Persian Gulf for strategic deterrence #IranMissileStrike,us aircraft carrier uss abraham lincoln arrives persian gulf strategic deterrence,0.0,0.1,Neutral,0
166,Iran launches 169 ballistic missiles at Cairo causing widespread panic and destruction,iran launches ballistic missiles cairo causing widespread panic destruction,0.0,0.1,Neutral,0
167,Oman confirms role as back-channel mediator between US and Iranian governments,oman confirms role backchannel mediator us iranian governments,0.0,0.1,Neutral,0
168,UN special envoy travels to Tehran and Jerusalem seeking diplomatic breakthrough #StopTheWar,un special envoy travels tehran jerusalem seeking diplomatic breakthrough,0.0,0.1,Neutral,0
169,Refugee crisis overwhelms Jordan and Turkey as 156 million flee war zones,refugee crisis overwhelms jordan turkey million flee war zones,-0.27,0.37,Negative,-1
170,Iran threatens nuclear escalation if Israel continues strikes on its military sites,iran threatens nuclear escalation israel continues strikes military sites,-0.17,0.27,Negative,-1
171,Thousands flee Tabriz as bombing intensifies in Iran-Israel war escalation #HezbollahIsrael,thousands flee tabriz bombing intensifies iranisrael war escalation,-0.27,0.37,Negative,-1
172,Iran cyber attacks cripple Israeli banking system and power grid infrastructure,iran cyber attacks cripple israeli banking system power grid infrastructure,0.0,0.1,Neutral,0
173,Oil prices hit record high as Iran threatens to blockade Strait of Hormuz,oil prices hit record high iran threatens blockade strait hormuz,-0.08,0.18,Negative,-1
174,Israeli intelligence warns of imminent Iranian dirty bomb attack on Tel Aviv #BidenForeignPolicy,israeli intelligence warns imminent iranian dirty bomb attack tel aviv,-0.15,0.25,Negative,-1
175,WHO warns healthcare system collapse in Gaza and Lebanon due to ongoing conflict,who warns healthcare system collapse gaza lebanon due ongoing conflict,-0.15,0.25,Negative,-1
176,Iran vows devastating retaliation after Israeli strike destroys Natanz nuclear facility #IDF,iran vows devastating retaliation israeli strike destroys natanz nuclear facility,-0.33,0.43,Negative,-1
177,US coordinates with Gulf states on contingency plans for potential Iran-Israel escalation #IranMissileStrike,us coordinates gulf states contingency plans potential iranisrael escalation,-0.08,0.18,Negative,-1
178,US State Department issues travel warning for Middle East amid ongoing tensions #IranNuclear,us state department issues travel warning middle east amid ongoing tensions,0.0,0.1,Neutral,0
179,US special forces casualties reported in covert operation against Iranian assets,us special forces casualties reported covert operation iranian assets,-0.09,0.19,Negative,-1
180,US warships intercept Iranian attack drones heading toward Israeli coastline #EndTheWar,us warships intercept iranian attack drones heading toward israeli coastline,-0.09,0.19,Negative,-1
181,US carrier strike group mobilizes as Iran threatens direct attack on American forces,us carrier strike group mobilizes iran threatens direct attack american forces,-0.15,0.25,Negative,-1
182,Israeli intelligence warns of imminent Iranian dirty bomb attack on Tel Aviv,israeli intelligence warns imminent iranian dirty bomb attack tel aviv,-0.17,0.27,Negative,-1
183,Israeli PM warns of existential threat as Iranian missiles rain down on major cities,israeli pm warns existential threat iranian missiles rain down major cities,-0.07,0.17,Negative,-1
