Date,Tweet,Reply Count,Retweet Count,Like Count,Language,Source Label,Search
11/5/2024,Escalating conflict threatens to drag entire Middle East into devastating regional war,24,94,171,en,Twitter Studio,Iran nuclear
12/16/2024,Israeli air force conducts practice runs over Mediterranean preparing for Iran strikes,21,96,406,en,Tweet Deck,Stop the war
12/19/2024,EU foreign ministers meet in Brussels to discuss Iran-Israel conflict diplomatic response,25,30,579,en,Twitter Web App,Biden Iran policy
12/5/2024,Iran test fires ICBM capable of reaching European capitals raising global alarm #IsraeliAirstrike,3,110,370,en,Buffer,UN Middle East
12/11/2024,Iran test fires ICBM capable of reaching European capitals raising global alarm,24,123,476,en,Hootsuite,Middle East conflict
12/15/2024,Israeli forces destroy Iranian missile launchers in preemptive strike operation #MiddleEastPeace,19,97,344,en,Twitter Web App,Refugee crisis
11/16/2024,Israeli air force conducts practice runs over Mediterranean preparing for Iran strikes #HouthiAttack,8,70,569,en,Twitter Web App,Global economy
12/25/2024,Reports of chemical weapons use in Mediterranean coastline spark international outrage and condemnation,22,125,458,en,Twitter Web App,Gaza humanitarian
12/3/2024,US warships intercept Iranian attack drones heading toward Israeli coastline #RefugeeCrisis,17,135,352,en,Hootsuite,Israeli airstrike
10/28/2024,US intelligence warns Iran weeks away from nuclear weapon capability amid conflict #IranNuclear,10,30,548,en,Twitter for Android,Global economy
10/28/2024,US special forces casualties reported in covert operation against Iranian assets,9,58,369,en,Twitter for Android,Iran retaliation
12/13/2024,Iranian missile barrage overwhelms Israeli Iron Dome defense system in latest attack #StopTheWar,9,32,502,en,Twitter for iPhone,Iran attacks Israel
11/5/2024,Netanyahu addresses Knesset on security situation amid ongoing Iranian missile campaign #StopTheWar,15,29,66,en,Hootsuite,Refugee crisis
11/11/2024,Israeli airstrike kills 148 civilians in Gaza Strip according to emergency services,2,63,121,en,SproutSocial,Lebanon war
11/29/2024,US coordinates with Gulf states on contingency plans for potential Iran-Israel escalation,9,150,439,en,Twitter for iPad,US Iran warning
11/6/2024,UN special envoy travels to Tehran and Jerusalem seeking diplomatic breakthrough,21,20,160,en,Tweet Deck,US Iran sanctions
12/19/2024,IMF warns conflict could reduce global GDP growth by 20 percent this year,15,74,33,en,Tweet Deck,IDF operations
12/23/2024,Israel releases intelligence showing Iranian weapon transfers to Hezbollah in Lebanon,18,50,435,en,Twitter for iPhone,Israel defense
11/12/2024,Iran Supreme Leader delivers speech on regional resistance against Israeli aggression #HezbollahIsrael,19,145,295,en,Buffer,Iran nuclear
12/7/2024,US sanctions squeeze Iranian economy but conflict shows no signs of ending,17,126,448,en,Twitter for iPhone,US military Middle East
12/29/2024,Hope for generation trapped in war as international scholarships offered to refugees #IsraelDefense,18,150,21,en,Twitter for iPad,US military Middle East
10/27/2024,EU foreign ministers meet in Brussels to discuss Iran-Israel conflict diplomatic response,18,111,503,en,Twitter for iPhone,War crimes Middle East
11/15/2024,Tragic loss of civilian life in Iranian border region as war crimes allegations mount against all sides,13,126,295,en,Hootsuite,US military Middle East
12/8/2024,Iran-backed militias attack US military bases in Iraq killing American soldiers #IranProtest,0,138,473,en,Hootsuite,US Iran warning
10/10/2024,War crimes tribunal called for as evidence mounts of deliberate civilian targeting,6,68,562,en,Twitter for Android,IDF operations
12/20/2024,Iran cyber attacks cripple Israeli banking system and power grid infrastructure,25,61,162,en,Twitter for iPad,Iran attacks Israel
10/19/2024,Egypt mediates back-channel talks between Iranian and Israeli representatives,20,39,510,en,Twitter for iPad,Oil prices war
11/4/2024,Arab League holds emergency summit addressing Iran-Israel-US military confrontation,14,141,148,en,Hootsuite,Global economy
11/8/2024,Brave journalists risking lives to document truth of conflict and protect civilians,24,106,348,en,SproutSocial,Middle East conflict
12/17/2024,IMF warns conflict could reduce global GDP growth by 1 percent this year,21,125,152,en,Buffer,War crimes Middle East
11/14/2024,Hezbollah fires 86 rockets into Riyadh wounding dozens of civilians,6,61,585,en,Hootsuite,Israel defense
11/21/2024,Iran foreign minister meets Russian counterpart to discuss Middle East conflict situation,12,38,507,en,Twitter Web App,Hezbollah Israel
11/29/2024,Iranian missile barrage overwhelms Israeli Iron Dome defense system in latest attack,3,134,467,en,Twitter Web App,UN Middle East
11/6/2024,Famine threatens Gaza as Iran-Israel blockade cuts off all humanitarian supply routes,10,101,82,en,TweetBot,Iran Houthis
11/3/2024,Israeli strike on Iranian general sparks massive retaliatory missile barrage on cities,20,73,232,en,Twitter for iPhone,IAEA Iran
10/7/2024,Israeli airstrike kills 195 civilians in Mediterranean coastline according to emergency services,1,83,57,en,Twitter for iPad,Biden Iran policy
10/27/2024,Iranian Revolutionary Guard pledges total war if US intervenes militarily in conflict,5,44,80,en,Twitter Studio,Iran Houthis
12/1/2024,Russia vetoes third UN Security Council ceasefire resolution on Middle East conflict #HouthiAttack,8,2,476,en,Twitter for iPad,Iran protests
11/27/2024,Israeli airstrike kills 114 civilians in Strait of Hormuz region according to emergency services,22,64,467,en,Twitter for iPad,Global economy
12/16/2024,US military bases in Middle East hit by Iran-backed drone attacks overnight,9,75,22,en,Hootsuite,Middle East conflict
11/9/2024,UN warns of catastrophic humanitarian disaster as Iran-Israel war intensifies,24,58,360,en,Tweet Deck,Global economy
12/25/2024,Turkey offers to host ceasefire negotiations between Iran and Israel in Ankara,1,79,451,en,Twitter Web App,Netanyahu speech
10/26/2024,Germany extends Iran oil sanctions following missile attacks on Israeli civilians,6,33,552,en,TweetBot,Oil prices war
11/10/2024,Inspiring story of Iranian and Israeli families sheltering together at border crossing,23,86,117,en,Buffer,Stop the war
12/14/2024,Iranian nuclear sites bombed by Israel sparking fears of radioactive contamination,11,23,404,en,Twitter Web App,US Israel alliance
12/24/2024,Israeli strike on Iranian general sparks massive retaliatory missile barrage on cities,11,27,239,en,Buffer,Israel Iran war
12/24/2024,Israel estimates Iranian missile program has over 144000 projectiles in arsenal,14,77,418,en,Twitter for iPhone,Hezbollah Israel
11/22/2024,Israeli intelligence warns of imminent Iranian dirty bomb attack on Tel Aviv #IDF,14,94,553,en,Hootsuite,UN Middle East
11/8/2024,Unity across religious lines as Jews Muslims and Christians pray together for peace,1,94,222,en,Buffer,Iranian regime
12/25/2024,Thousands of Iranian soldiers mobilize near Israeli border threatening ground invasion,11,15,407,en,Twitter for iPad,Global economy
12/19/2024,Iran launches 117 ballistic missiles at Haifa causing widespread panic and destruction,0,12,341,en,Tweet Deck,Hezbollah Israel
11/2/2024,Israel and US conduct joint military drill simulating Iranian missile attack scenario,10,37,2,en,Twitter for iPad,UN Middle East
10/20/2024,UN warns of catastrophic humanitarian disaster as Iran-Israel war intensifies #IranAttacksIsrael,0,91,243,en,Twitter Studio,Nuclear deal Iran
12/10/2024,Israel destroys Iranian oil refinery in major escalation of direct military strikes,3,16,487,en,Buffer,Netanyahu speech
10/9/2024,Israeli airstrike kills 152 civilians in Mediterranean coastline according to emergency services,23,133,308,en,Buffer,Israel Iran war
11/29/2024,Global markets crash as Iran-Israel-US military confrontation escalates without end,2,20,329,en,Twitter Studio,UN Middle East
12/1/2024,War crimes tribunal called for as evidence mounts of deliberate civilian targeting #BidenForeignPolicy,16,110,101,en,Twitter for iPhone,Humanitarian aid
11/24/2024,Children among casualties as missiles strike school shelter in Persian Gulf coast war zone,13,24,320,en,Hootsuite,Nuclear deal Iran
10/15/2024,EU foreign ministers meet in Brussels to discuss Iran-Israel conflict diplomatic response #GazaHumanitarian,13,24,381,en,Twitter for Android,US Iran warning
12/28/2024,US State Department issues travel warning for Middle East amid ongoing tensions,24,108,52,en,Twitter for iPad,Iran retaliation
11/1/2024,US intelligence warns Iran weeks away from nuclear weapon capability amid conflict #IranThreat,3,89,569,en,TweetBot,Iran nuclear
12/22/2024,Israel and US conduct joint military drill simulating Iranian missile attack scenario,19,142,26,en,Twitter Studio,Middle East conflict
11/17/2024,US sanctions squeeze Iranian economy but conflict shows no signs of ending,0,46,146,en,Twitter Studio,Red Sea conflict
11/16/2024,Israeli intelligence warns of imminent Iranian dirty bomb attack on Tel Aviv #MiddleEastPeace,5,94,319,en,TweetBot,Gaza humanitarian
11/7/2024,Heartwarming scenes as families reunite after being separated by Iran-Israel conflict,14,108,497,en,Twitter Studio,Iranian regime
11/9/2024,Israeli strike on Iranian general sparks massive retaliatory missile barrage on cities #IranNuclear,21,124,539,en,Twitter for iPad,US military Middle East
10/21/2024,Israeli airstrike kills 102 civilians in northern Israel according to emergency services #IranSanctions,24,65,296,en,TweetBot,Iran nuclear
12/7/2024,Mass displacement crisis: 128 million people fleeing violence in Lebanon and Gaza #IsraelDefense,17,90,73,en,Hootsuite,US military Middle East
12/16/2024,US special forces casualties reported in covert operation against Iranian assets,12,106,296,en,Twitter for iPhone,Red Sea conflict
11/19/2024,Israeli intelligence warns of imminent Iranian dirty bomb attack on Tel Aviv,2,111,108,en,Tweet Deck,IAEA Iran
11/16/2024,UN Security Council scheduled emergency vote on Iran-Israel ceasefire resolution,7,85,172,en,Twitter for iPhone,Oil prices war
11/17/2024,Iran announces it will not negotiate under military threat from Israel or United States,11,37,241,en,Twitter for iPhone,UN Middle East
12/26/2024,Global markets crash as Iran-Israel-US military confrontation escalates without end,2,45,505,en,Buffer,Iranian regime
12/3/2024,Arab League holds emergency summit addressing Iran-Israel-US military confrontation #USMilitary,14,77,281,en,Twitter Studio,US Iran warning
10/11/2024,US intelligence warns Iran weeks away from nuclear weapon capability amid conflict,11,73,78,en,Twitter for iPhone,Oil prices war
12/16/2024,US military bases in Middle East hit by Iran-backed drone attacks overnight,20,48,329,en,Twitter Studio,War crimes Middle East
11/16/2024,Hostages taken during Iranian proxy attack in northern Israel still unaccounted for,22,21,516,en,Twitter for Android,US military Middle East
11/22/2024,Iran vows devastating retaliation after Israeli strike destroys Natanz nuclear facility #BidenForeignPolicy,13,86,53,en,TweetBot,Stop the war
11/15/2024,Reports of chemical weapons use in Iraqi Kurdistan spark international outrage and condemnation #IRGC,2,149,144,en,TweetBot,Iran retaliation
12/25/2024,Iran activates air defense systems across country after Israeli drone incursions #NuclearDeal,25,84,130,en,SproutSocial,Gaza humanitarian
10/27/2024,Iran announces withdrawal from nuclear deal following Israeli attack on Natanz #IranMissileStrike,6,87,497,en,Tweet Deck,Israel defense
12/12/2024,Iran-backed militias attack US military bases in Iraq killing American soldiers,23,134,38,en,TweetBot,Hezbollah Israel
12/22/2024,Iran announces withdrawal from nuclear deal following Israeli attack on Natanz,25,42,448,en,Twitter Web App,Lebanon war
11/30/2024,Refugee crisis overwhelms Jordan and Turkey as 174 million flee war zones,7,136,244,en,Twitter for iPad,War crimes Middle East
11/9/2024,Hope for peace as US mediators arrive in Tehran for secret ceasefire negotiations,24,97,514,en,SproutSocial,Lebanon war
11/20/2024,Iran-backed militias attack US military bases in Iraq killing American soldiers #IranThreat,17,26,528,en,Twitter for iPhone,IDF operations
10/22/2024,Israeli PM warns of existential threat as Iranian missiles rain down on major cities,13,23,227,en,Buffer,Biden Iran policy
11/20/2024,Horrific scenes as missiles devastate Persian Gulf coast residential neighborhoods in latest attack #GazaHumanitarian,7,7,326,en,Twitter for iPhone,Israeli airstrike
12/3/2024,China calls for diplomatic solution as Iran-Israel conflict threatens global economy,22,35,480,en,Buffer,Iran attacks Israel
12/13/2024,Relief as humanitarian corridor opens allowing aid into Negev desert war zone finally,23,135,433,en,Twitter for iPhone,IDF operations
12/22/2024,Explosions rock Beersheba as latest round of Iran-Israel strikes causes mass panic,14,16,113,en,Buffer,Israel Iran war
12/21/2024,Arab League holds emergency summit addressing Iran-Israel-US military confrontation #IranIsraelWar,11,61,584,en,Hootsuite,US Iran sanctions
11/22/2024,Iranian state media reports military exercise near Strait of Hormuz this week #IranAttacksIsrael,15,11,396,en,TweetBot,US Israel alliance
12/17/2024,IMF warns conflict could reduce global GDP growth by 5 percent this year #MiddleEastCrisis,23,85,136,en,Twitter Web App,Biden Iran policy
12/4/2024,Israel estimates Iranian missile program has over 87000 projectiles in arsenal,20,46,138,en,Twitter for iPhone,Ceasefire talks
11/13/2024,Reports of chemical weapons use in northern Israel spark international outrage and condemnation,9,131,407,en,SproutSocial,War crimes Middle East
10/10/2024,Brutal bombardment of Negev desert leaves entire neighborhoods in rubble and ruins,20,84,279,en,Twitter for iPhone,Netanyahu speech
12/6/2024,Iran executes dissidents protesting against the devastating war with Israel,22,127,376,en,SproutSocial,Middle East conflict
10/27/2024,WHO warns healthcare system collapse in Gaza and Lebanon due to ongoing conflict,17,75,328,en,Twitter for iPhone,Gaza humanitarian
11/27/2024,Israeli PM warns of existential threat as Iranian missiles rain down on major cities,5,113,359,en,Buffer,US military Middle East
10/11/2024,Biden administration reviews military options as Iran-Israel conflict enters new phase,2,103,372,en,SproutSocial,Iran protests
11/3/2024,Oil prices hit record high as Iran threatens to blockade Strait of Hormuz #USMilitary,24,93,370,en,Hootsuite,US military Middle East
10/13/2024,Iran and Russia hold joint naval exercise in Caspian Sea amid Middle East tensions,18,35,542,en,TweetBot,Red Sea conflict
12/6/2024,US special forces casualties reported in covert operation against Iranian assets #UNMiddleEast,16,99,575,en,Twitter for iPhone,US Israel alliance
12/5/2024,Israeli military intelligence assesses Iranian military capabilities and vulnerabilities,6,31,138,en,Twitter for iPhone,Iranian regime
10/12/2024,Iran threatens nuclear escalation if Israel continues strikes on its military sites,17,138,297,en,Twitter for iPad,Iran protests
10/19/2024,Iran claims responsibility for missile attack on Israeli military base in Negev desert,6,35,242,en,Buffer,Israel Iran war
12/13/2024,Famine threatens Gaza as Iran-Israel blockade cuts off all humanitarian supply routes,4,22,67,en,Twitter for iPad,Red Sea conflict
12/16/2024,Israel estimates Iranian missile program has over 185000 projectiles in arsenal,2,32,324,en,Twitter for iPhone,Iranian regime
12/13/2024,Horrific scenes as missiles devastate Iranian border region residential neighborhoods in latest attack,20,150,186,en,Twitter for Android,IAEA Iran
11/14/2024,Ceasefire talks collapse again as Iran refuses all US mediation conditions completely #HezbollahIsrael,22,57,354,en,SproutSocial,IDF operations
12/21/2024,US aircraft carrier USS Abraham Lincoln arrives in Persian Gulf for strategic deterrence #IranMissileStrike,17,23,514,en,Twitter for Android,UN Middle East
12/15/2024,Iran launches 169 ballistic missiles at Cairo causing widespread panic and destruction,1,7,83,en,Twitter Web App,US Israel alliance
12/23/2024,Oman confirms role as back-channel mediator between US and Iranian governments,17,74,309,en,Buffer,Iran missile strike
10/24/2024,UN special envoy travels to Tehran and Jerusalem seeking diplomatic breakthrough #StopTheWar,14,106,495,en,Buffer,Humanitarian aid
11/17/2024,Refugee crisis overwhelms Jordan and Turkey as 156 million flee war zones,12,33,379,en,SproutSocial,Diplomacy Middle East
10/22/2024,Iran threatens nuclear escalation if Israel continues strikes on its military sites,3,12,297,en,Hootsuite,Lebanon war
12/6/2024,Thousands flee Tabriz as bombing intensifies in Iran-Israel war escalation #HezbollahIsrael,16,119,510,en,Twitter for iPad,Refugee crisis
10/31/2024,Iran cyber attacks cripple Israeli banking system and power grid infrastructure,18,90,49,en,Twitter Web App,IDF operations
11/28/2024,Oil prices hit record high as Iran threatens to blockade Strait of Hormuz,4,67,374,en,Hootsuite,Netanyahu speech
10/13/2024,Israeli intelligence warns of imminent Iranian dirty bomb attack on Tel Aviv #BidenForeignPolicy,12,129,461,en,SproutSocial,Middle East conflict
11/23/2024,WHO warns healthcare system collapse in Gaza and Lebanon due to ongoing conflict,11,86,571,en,TweetBot,UN Middle East
11/15/2024,Iran vows devastating retaliation after Israeli strike destroys Natanz nuclear facility #IDF,25,121,531,en,Buffer,UN Middle East
12/18/2024,US coordinates with Gulf states on contingency plans for potential Iran-Israel escalation #IranMissileStrike,10,129,521,en,SproutSocial,Refugee crisis
11/26/2024,US State Department issues travel warning for Middle East amid ongoing tensions #IranNuclear,18,78,27,en,Twitter Studio,War crimes Middle East
12/17/2024,US special forces casualties reported in covert operation against Iranian assets,15,43,536,en,Twitter Studio,Iran Houthis
11/13/2024,US warships intercept Iranian attack drones heading toward Israeli coastline #EndTheWar,13,38,422,en,Tweet Deck,Lebanon war
12/9/2024,US carrier strike group mobilizes as Iran threatens direct attack on American forces,6,143,332,en,Buffer,Iran Houthis
12/29/2024,Israeli intelligence warns of imminent Iranian dirty bomb attack on Tel Aviv,24,67,495,en,Tweet Deck,Iran missile strike
10/30/2024,Israeli PM warns of existential threat as Iranian missiles rain down on major cities,22,125,324,en,Buffer,Biden Iran policy
12/12/2024,Israel releases intelligence showing Iranian weapon transfers to Hezbollah in Lebanon,12,101,353,en,Twitter for Android,IDF operations
12/4/2024,Explosions rock Haifa as latest round of Iran-Israel strikes causes mass panic,6,51,551,en,Twitter for iPad,Middle East conflict
12/24/2024,Iran-backed militias attack US military bases in Iraq killing American soldiers #IsraelDefense,7,13,102,en,Hootsuite,Israeli airstrike
11/25/2024,Russia vetoes third UN Security Council ceasefire resolution on Middle East conflict #HezbollahIsrael,20,121,488,en,Tweet Deck,IDF operations
11/2/2024,Iran vows devastating retaliation after Israeli strike destroys Natanz nuclear facility,17,9,179,en,Hootsuite,US Iran sanctions
10/8/2024,US diplomacy achieves breakthrough: Iran agrees to pause missile attacks for 72 hours #BidenForeignPolicy,0,76,581,en,Twitter Studio,Diplomacy Middle East
10/21/2024,Explosions rock Beirut as latest round of Iran-Israel strikes causes mass panic,16,119,279,en,Tweet Deck,Iran nuclear
10/5/2024,US carrier strike group mobilizes as Iran threatens direct attack on American forces,23,86,302,en,Twitter Studio,Global economy
10/15/2024,US sanctions squeeze Iranian economy but conflict shows no signs of ending,12,24,189,en,Twitter for Android,War crimes Middle East
11/15/2024,Tragic loss of civilian life in Negev desert as war crimes allegations mount against all sides #NetanyahuSpeech,9,149,586,en,Twitter Web App,US Israel alliance
10/24/2024,Biden administration reviews military options as Iran-Israel conflict enters new phase,12,128,318,en,Twitter for iPhone,IDF operations
12/1/2024,US warships intercept Iranian attack drones heading toward Israeli coastline,23,95,425,en,SproutSocial,War crimes Middle East
12/19/2024,US State Department issues travel warning for Middle East amid ongoing tensions,25,20,538,en,Buffer,Netanyahu speech
10/23/2024,US sanctions squeeze Iranian economy but conflict shows no signs of ending,5,83,532,en,Buffer,Iran nuclear
11/30/2024,Iran activates air defense systems across country after Israeli drone incursions,25,14,464,en,Twitter for Android,Oil prices war
11/12/2024,Iran launches 117 ballistic missiles at Dubai causing widespread panic and destruction,23,5,405,en,Twitter for iPad,Iran attacks Israel
1/1/2025,G20 leaders issue joint statement calling for de-escalation in Middle East crisis,2,138,61,en,Twitter for iPhone,War crimes Middle East
12/25/2024,Israeli air defense fails to intercept 74 Iranian missiles hitting military bases,13,95,391,en,Buffer,Iran Houthis
12/10/2024,Escalating conflict threatens to drag entire Middle East into devastating regional war #IranProtest,4,57,3,en,Twitter Web App,Iran retaliation
11/4/2024,Israeli strike on Iranian general sparks massive retaliatory missile barrage on cities,14,88,158,en,Twitter for iPad,Global economy
10/6/2024,Israeli air force conducts practice runs over Mediterranean preparing for Iran strikes,7,52,68,en,Twitter for iPhone,US military Middle East
11/2/2024,Israeli air defense fails to intercept 154 Iranian missiles hitting military bases,17,55,57,en,Twitter for Android,Oil prices war
12/27/2024,Israeli intelligence warns of imminent Iranian dirty bomb attack on Tel Aviv #IRGC,16,56,423,en,Twitter for iPad,Middle East conflict
11/27/2024,Global markets crash as Iran-Israel-US military confrontation escalates without end,17,126,48,en,TweetBot,Iran Houthis
11/11/2024,Pentagon releases statement on US military posture in eastern Mediterranean region,12,47,550,en,Buffer,Iran missile strike
10/11/2024,Iran and Russia hold joint naval exercise in Caspian Sea amid Middle East tensions,17,105,426,en,SproutSocial,Hezbollah Israel
11/30/2024,Mass graves discovered in West Bank as evidence of atrocities during Iran conflict emerges,11,23,548,en,Tweet Deck,US Iran warning
10/28/2024,Global food crisis worsens as Iran-Israel war disrupts Middle East agricultural exports,25,150,572,en,Tweet Deck,War crimes Middle East
10/19/2024,US carrier strike group mobilizes as Iran threatens direct attack on American forces,23,122,248,en,Twitter Studio,Humanitarian aid
11/12/2024,Tragic loss of civilian life in Iranian border region as war crimes allegations mount against all sides #HumanitarianAid,8,92,525,en,Buffer,Ceasefire talks
11/20/2024,Israeli airstrike kills 185 civilians in Yemeni coast according to emergency services,10,105,46,en,Twitter Studio,Israel defense
11/15/2024,Israel estimates Iranian missile program has over 38000 projectiles in arsenal #CeasefireNow,7,97,583,en,Tweet Deck,Refugee crisis
12/25/2024,G20 leaders issue joint statement calling for de-escalation in Middle East crisis,23,125,471,en,Twitter for Android,Biden Iran policy
12/12/2024,Refugee crisis overwhelms Jordan and Turkey as 36 million flee war zones,20,15,536,en,Twitter Web App,Stop the war
12/23/2024,Netanyahu addresses Knesset on security situation amid ongoing Iranian missile campaign,7,17,154,en,Twitter Web App,Humanitarian aid
